artist_name,track_name
new order,your silent face
the the,uncertain smile
christopher cross,all right
bryan adams,straight from the heart
violent femmes,gone daddy gone
cyndi lauper,all through the night
the cleaners from venus,please don't step on my rainbow
r.e.m.,catapult
eddie money,take a little bit
eddie money,hard life
the chameleons,don't fall
the fixx,reach the beach
the romantics,one in a million
r.e.m.,moral kiosk
anne murray,just another woman in love
the style council,long hot summer
billy fury,halfway to paradise
billy idol,daytime drama
the fixx,the sign of fire
wipers,over the edge
violent femmes,ugly
bryan adams,this time
donna summer,i do believe (i fell in love)
the fixx,saved by zero
heart,how can i refuse
billy idol,catch my fall
tears for fears,the hurting
the plimsouls,oldest story in the world
violent femmes,to the kill
new order,05/08/2006
red rockers,china
tears for fears,memories fade
blancmange,blind vision
salma agha,come closer
the replacements,black diamond
minutemen,two beads at the end
sonic youth,death valley '69
new edition,hide and seek
echo & the bunnymen,crystal days
modern english,hands across the sea
the replacements,we're comin' out
minutemen,theatre is the life of you
gloria estefan,get on your feet
the bangles,going down to liverpool
echo & the bunnymen,my kingdom
hüsker dü,"broken home, broken heart"
gerry & the pacemakers,how do you do it?
cocteau twins,amelia
lyres,help you ann
violent femmes,black girls
minutemen,do you want new wave or do you want the truth
pretenders,thin line between love and hate
minutemen,d.'s car jam / anxious mo-fo
matt bianco,half a minute
violent femmes,hallowed ground
"""weird al"" yankovic",nature trail to hell
the stranglers,let me down easy
billy ocean,loverboy
"""weird al"" yankovic",polkas on 45
ultravox,dancing with tears in my eyes
the cars,jacki
violent femmes,jesus walking on the water
chaka khan,this is my night
the bangles,hero takes a fall
echo & the bunnymen,thorn of crowns
alphaville,fallen angel
minutemen,one reporters opinion
kansas,the devil game
minutemen,toadies
thompson twins,day after day
laura branigan,with every beat of my heart
everything but the girl,tender blue
meat puppets,the whistling song
naked eyes,(what) in the name of love
hüsker dü,what's going on
minutemen,west germany
mac davis,hooked on music
hüsker dü,beyond the threshold
new edition,delicious
little river band,playing to win
bryan adams,long gone
pat benatar,temporary heroes
alphaville,to germany with love
echo & the bunnymen,the yo yo man
minutemen,this ain't no picnic
minutemen,shit from an old notebook
"""weird al"" yankovic",king of suede
the fixx,are we ourselves?
bryan adams,one night love affair
minutemen,nature without man
alison moyet,weak in the presence of beauty
frankie goes to hollywood,war
r.e.m.,time after time (annelise)
gloria estefan,can't stay away from you
kenny loggins,i'm free (heaven helps the man )
don henley,you can't make love
"""weird al"" yankovic",eat it
bryan adams,it's only love
gerry & the pacemakers,you'll never walk alone
cocteau twins,"pearly-dewdrops' drops (7"" version)"
gerry & the pacemakers,ferry cross the mersey
new edition,lost in love
howard jones,new song
meat puppets,plateau
frankie goes to hollywood,two tribes
wham!,last christmas
limahl,never ending story
thompson twins,hold me now
laura branigan,self control
talk talk,it's my life
bronski beat,smalltown boy
pat benatar,we belong
new edition,mr. telephone man
hüsker dü,something i learned today
minutemen,corona
the human league,the lebanon
howard jones,no one is to blame
madonna,material girl
echo & the bunnymen,the killing moon
talk talk,such a shame
gloria estefan,everlasting love
hüsker dü,chartered trips
laura branigan,ti amo
gloria estefan,don't wanna lose you
the style council,the paris match
cocteau twins,aloysius
cocteau twins,beatrix
"""weird al"" yankovic",theme from rocky xiii
the cars,looking for love
echo & the bunnymen,ocean rain
violent femmes,i hear the rain
public image ltd.,this is not a love song
the cars,it's not the night
sheena easton,sugar walls
madonna,stay
the stranglers,skin deep
alison moyet,is this love?
bryan adams,kids wanna rock
gloria estefan,01/02/2003
madonna,love don't live here anymore
bronski beat,i feel love
public image ltd.,the order of death
pretenders,2000 miles
meat puppets,"oh, me"
john mellencamp,justice and independence '85
dinosaur jr.,forget the swan
inxs,same direction
the alarm,strength
propaganda,p-machinery
pete townshend,give blood
tina turner,one of the living
a-ha,take on me
scritti politti,absolute
the jesus and mary chain,the hardest walk
wall of voodoo,far side of crazy
new edition,count me out
bryan ferry,windswept
a-ha,the blue sky
inxs,good + bad times
the dream academy,the love parade
china crisis,black man ray
r.e.m.,life and how to live it
tears for fears,head over heels / broken
tears for fears,shout
new order,this time of night
miami sound machine,falling in love (uh-oh)
pete townshend,face the face
simple minds,don't you (forget about me)
arcadia,election day
simply red,holding back the years
tears for fears,everybody wants to rule the world
suzanne vega,the queen and the soldier
oingo boingo,same man i was before
a-ha,living a boy's adventure tale
the replacements,left of the dial
lloyd cole and the commotions,lost weekend
tears for fears,the working hour
china crisis,the highest high
tears for fears,broken / head over heels
thompson twins,breakaway
a-ha,love is reason
john mellencamp,the face of the nation
thompson twins,lay your hands on me
descendents,gcf
starship,tomorrow doesn't matter tonight
hüsker dü,divide and conquer
descendents,rockstar
prefab sprout,goodbye lucille #1
tom petty and the heartbreakers,needles and pins
modern talking,you're the lady of my heart
the jesus and mary chain,cut dead
mike & the mechanics,par avion
bryan ferry,sensation
jane wiedlin,blue kiss
big black,passing complexion
the replacements,waitress in the sky
whitney houston,hold me (with teddy pendergrass)
"""weird al"" yankovic",slime creatures from outer space
the replacements,lay it down clown
the outfield,no point
rick springfield,state of the heart
descendents,christmas vacation
paul young,every time you go away
bill haley & his comets,(we're gonna) rock around the clock
orchestral manoeuvres in the dark,so in love
whitney houston,all at once
john mellencamp,rain on the scarecrow
mike & the mechanics,silent running
prefab sprout,bonny
level 42,something about you
gloria estefan,words get in the way
oingo boingo,no one lives forever
pat benatar,invincible
kate bush,and dream of sheep
abc,be near me
oingo boingo,stay
heart,what about love?
whitney houston,greatest love of all
the outfield,your love
midge ure,the man who sold the world
echo & the bunnymen,bring on the dancing horses
the outfield,all the love
oingo boingo,dead man's party
john mellencamp,between a laugh and a tear
the outfield,61 seconds
the outfield,i don't need her
hüsker dü,makes no sense at all
feargal sharkey,a good heart
r.e.m.,driver 8
felt,primitive painters
hüsker dü,celebrated summer
tears for fears,i believe
big black,kerosene
strawberry switchblade,go away
strawberry switchblade,since yesterday
suzanne vega,marlene on the wall
john mellencamp,minutes to memories
wang chung,to live and die in l.a.
propaganda,duel
kenny loggins,forever
heart,if looks could kill
prefab sprout,when love breaks down
heart,nothin' at all
the style council,walls come tumbling down
go west,we close our eyes
the dream academy,the edge of forever
love and rockets,haunted when the minutes drag
kate bush,jig of life
simply red,money's too tight
wang chung,fire in the twilight
mike & the mechanics,taken in
kate bush,under ice
kate bush,mother stands for comfort
kate bush,watching you without me
china crisis,arizona sky
crowded house,world where you live
the cleaners from venus,clara bow
nana mouskouri,only love
babyface,i love you babe
madonna,love makes the world go round
the cleaners from venus,the mercury girl
madonna,jimmy jimmy
billy ocean,love is forever
"""weird al"" yankovic",christmas at ground zero
talk talk,i don't believe in you
cocteau twins,oomingmak
"""weird al"" yankovic",living with a hernia
r.e.m.,the flowers of guatemala
babyface,you make me feel brand new
everything but the girl,cross my heart
the outfield,bangin' on my heart
they might be giants,put your hand inside the puppet head
violent femmes,i held her in my arms
eurythmics,when tomorrow comes
wham!,blue
salt-n-pepa,my mic sounds nice
janet jackson,he doesn't know i'm alive
the smithereens,in a lonely place
cocteau twins,whales tails
the moody blues,the other side of life
steve winwood,split decision
peter gabriel,that voice again
jerry vale,pretend you don't see her
crowded house,now we're getting somewhere
xtc,1000 umbrellas
arthur russell,tone bone kone
george michael,a different corner
"""weird al"" yankovic",addicted to spuds
grace jones,i'm not perfect (but i'm perfect for you)
book of love,you make me feel so good
eddie money,one love
the outfield,moving target
little river band,time for us
r.e.m.,i believe
they might be giants,number three
cyndi lauper,calm inside the storm
the b-52's,summer of love
yanni,the end of august
peter cetera,only love knows why
bruce hornsby,the long race
r.e.m.,hyena
siouxsie and the banshees,sweetest chill
cocteau twins,love's easy tears
paul kelly,before too long
billy bragg,there is power in a union
r.e.m.,begin the begin
the housemartins,get up off our knees
siouxsie and the banshees,candyman
duran duran,american science
descendents,cheer
crowded house,something so strong
the human league,human
janet jackson,funny how time flies (when you're having fun)
madonna,open your heart
the smithereens,blood and roses
talk talk,life's what you make it
bodeans,fadeaway
the smithereens,behind the wall of sleep
r.e.m.,fall on me
berlin,take my breath away
steve winwood,higher love
peter cetera,glory of love
siouxsie and the banshees,cities in dust
the communards,don't leave me this way (with sarah jane morris)
bruce hornsby,mandolin rain
pet shop boys,opportunities (let's make lots of money)
the skyliners,since i don't have you
erasure,oh l'amour
cutting crew,i've been in love before
the go-betweens,spring rain
cyndi lauper,iko iko
pete townshend,save it for later
new order,1963
the feelies,slipping (into something)
john prine,let's talk dirty in hawaiian
the chills,pink frost
tina turner,typical male
the marcels,heartaches
big country,look away
the feelies,when company comes
billy bragg,levi stubbs' tears
electric light orchestra,getting to the point
firehose,brave captain
the clean,slug song
the del-vikings,whispering bells
the fixx,secret separation
xtc,summer's cauldron
cocteau twins,lazy calm
talk talk,living in another world
the feelies,let's go
eddie money,endless nights
steve winwood,the finer things
bodeans,still the night
the skyliners,this i swear
john farnham,break the ice
pet shop boys,rent
heart,strangers of the heart
"10,000 maniacs",cherry tree
r.e.m.,welcome to the occupation
sonic youth,catholic block
george michael,hand to mouth
heart,bad animals
starship,set the night to music
carly simon,itsy bitsy spider
hüsker dü,could you be the one?
billy joe royal,i'll pin a note on your pillow
wire,ahead
the replacements,never mind
starship,it's not over ('til it's over)
sandra,everlasting love
inxs,laying down the law
perry como,feelings
big black,bad penny
"10,000 maniacs",a campfire song
johnny clegg,scatterlings of africa
tiffany,i saw him standing there
the lettermen,put your head on my shoulder
echo & the bunnymen,bedbugs and ballyhoo
heavy d & the boyz,the overweight lovers in the house
the replacements,alex chilton
cher,bang bang
indigo girls,strange fire
ll cool j,go cut creator go
love and rockets,mirror people
the cars,strap me in
the replacements,i.o.u.
the drifters,this magic moment
heavy d & the boyz,mr. big stuff
r.e.m.,lightnin' hopkins
samantha fox,nothing's gonna stop me now
the jesus and mary chain,nine million rainy days
nanci griffith,from a distance
erasure,hideaway
carly simon,as time goes by
big black,l dopa
the jesus and mary chain,cherry came too
dead or alive,brand new lover
the jesus and mary chain,about you
ll cool j,get down
the psychedelic furs,angels don't cry
belinda carlisle,world without you
tim hardin,if i were a carpenter
glen campbell,still within the sound of my voice
r.e.m.,king of birds
the lettermen,shangri-la
pixies,ed is dead
guadalcanal diary,litany (life goes on)
descendents,clean sheets
siouxsie and the banshees,trust in me
big audio dynamite,c'mon every beatbox
suzanne vega,solitude standing
r.e.m.,oddfellows local 151
the cars,go away
the cars,coming up on you
bodeans,dreams
sinéad o'connor,mandinka
john mellencamp,paper in fire
erasure,sometimes
abc,when smokey sings
"10,000 maniacs",like the weather
pet shop boys,it's a sin
richard marx,should've known better
debbie gibson,foolish beat
michael jackson,dirty diana
john mellencamp,check it out
belinda carlisle,i get weak
inxs,mediate
marshall crenshaw,"crying, waiting, hoping"
michael jackson,i just can't stop loving you (feat. siedah garrett)
alison moyet,love letters
the monkees,(i'd go the) whole wide world
michael jackson,leave me alone
richard marx,hold on to the nights
terence trent d'arby,wishing well
john mellencamp,cherry bomb
inxs,never tear us apart
whitney houston,didn't we almost have it all
tiffany,i think we're alone now
level 42,lessons in love
inxs,devil inside
rick astley,together forever
carly simon,coming around again
debbie gibson,only in my dreams
pixies,caribou
michael jackson,fly away
whitney houston,you're still my man
exposé,seasons change
hoodoo gurus,what's my scene
helen reddy,you and me against the world
the communards,never can say goodbye
level 42,it's over
pixies,i've been tired
rick astley,whenever you need somebody
the lettermen,hurt so bad
descendents,coolidge
pixies,nimrod's son
dinosaur jr.,the lung
sinéad o'connor,i want your (hands on me)
michael jackson,al capone
culture club,time (clock of the heart)
whitney houston,love will save the day
living in a box,living in a box
cher,we all sleep alone
dinosaur jr.,little fury things
julian cope,world shut your mouth
michael jackson,speed demon (remix by nero)
public image ltd.,seattle
inxs,kick
the bats,made up in blue
the proclaimers,over and done with
mc lyte,lyte as a rock
edie brickell & new bohemians,love like we do
sheena easton,the lover in me
bad religion,part iv (the index fossil)
bad religion,pessimistic lines
pet shop boys,always on my mind / in my house
johnny hates jazz,i don't want to be a hero
the sugarcubes,coldsweat
kylie minogue,especially for you
my bloody valentine,i can see it (but i can't feel it)
robert john,the lion sleeps tonight
cocteau twins,the itchy glowbo blow
erasure,phantom bride
paula abdul,knocked out
bad religion,when?
when in rome,heaven knows
the sugarcubes,deus
brian wilson,love and mercy
erasure,when i needed you
edie brickell & new bohemians,air of december
yazz,the only way is up
boz scaggs,heart of mine
siouxsie and the banshees,the killing jar
new kids on the block,i need you
rick astley,hold me in your arms
bad religion,delirium of disorder
screeching weasel,dingbat
guy,spend the night
k.d. lang,i'm down to my last cigarette
paula abdul,state of attraction
sonic youth,total trash (album version)
my bloody valentine,nothing much to lose
edie brickell & new bohemians,beat the time
information society,lay all your love on me
"""weird al"" yankovic",good old days
fine young cannibals,it's ok (it's alright)
new kids on the block,i remember when
chris de burgh,carry me (like a fire in your heart)
johnny hates jazz,don't say it's love
the drifters,i count the tears
a-ha,there's never a forever thing
dinosaur jr.,they always come
new edition,where it all started
a-ha,the living daylights
brian wilson,there's so many
duran duran,too late marlene
johnny hates jazz,shattered dreams
edie brickell & new bohemians,she
the sugarcubes,delicious demon
sam brown,stop
social distortion,like an outlaw (for you)
fine young cannibals,i'm not satisfied
my bloody valentine,several girls galore
galaxie 500,pictures
galaxie 500,parking lot
dead moon,graveyard
melissa etheridge,occasionally
screeching weasel,supermarket fantasy
screeching weasel,hey suburbia
tracy chapman,for my lover
pat benatar,all fired up
bad religion,suffer
perry como,magic moments (with mitchell ayres and his orchestra & the ray charles singers)
kenny loggins,meet me half way
new edition,boys to men
the primitives,crash
boy meets girl,waiting for a star to fall
the proclaimers,i'm on my way
tiffany,all this time
siouxsie and the banshees,peek-a-boo
fine young cannibals,i'm not the man i used to be
climie fisher,love changes (everything)
the boo radleys,there she goes
melissa etheridge,bring me some water
roxette,listen to your heart
paula abdul,forever your girl
beat happening,indian summer
johnny hates jazz,turn back the clock
fine young cannibals,good thing
bobby brown,every little step
tracy chapman,talkin' bout a revolution
new edition,if it isn't love
new kids on the block,i'll be loving you (forever)
paula abdul,straight up
pixies,where is my mind?
social distortion,lost child
paula abdul,cold hearted
guy,groove me
cowboy junkies,sweet jane
paula abdul,opposites attract
martika,toy soldiers
taylor dayne,i'll always love you
cocteau twins,blue bell knoll
information society,walking away
everything but the girl,i don't want to talk about it
leonard cohen,take this waltz
kylie minogue,i should be so lucky
social distortion,i want what i want
fine young cannibals,ever fallen in love
rick astley,take me to your heart
al b. sure!,killing me softly
the proclaimers,sunshine on leith
edie brickell & new bohemians,little miss s.
social distortion,indulgence
pixies,oh my golly!
they might be giants,ana ng
"""weird al"" yankovic",(this song's just) six words long
al b. sure!,naturally mine
bad religion,give you nothing
pixies,something against you
paula abdul,the way that you love me
pixies,break my body
the smithereens,only a memory
shirley bassey,goldfinger
bad religion,you are (the government)
my bloody valentine,lose my breath
pixies,broken face
tracy chapman,why?
tracy chapman,for you
kim wilde,you came
information society,running
bad religion,the world won't stop
dead moon,a miss of you
galaxie 500,another day
bad religion,i want something more
swing out sister,you on my mind
indigo girls,history of us
marc almond,tears run rings
roy orbison,the only one
the offspring,jennifer lost the war
don henley,how bad do you want it?
new order,all the way
a.r. kane,a love from outer space
tears for fears,standing on the corner of the third world
madonna,love song
tears for fears,swords and knives
erasure,drama!
indigo girls,land of canaan
donna summer,breakaway
sarah mclachlan,vox
roy orbison,in the real world
madonna,till death do us part
kylie minogue,hand on your heart
bad religion,henchman
bonnie raitt,love letter
roy orbison,a love so beautiful
tracy chapman,be careful of my heart
the seekers,a world of our own
bad religion,anxiety
new order,vanishing point
swing out sister,forever blue
the outfield,voices of babylon
new order,dream attack
belinda carlisle,leave a light on
melissa etheridge,no souvenirs
babyface,given a chance
jody watley,real love
the blue nile,let's go out tonight
shawn colvin,steady on
dead moon,54/40 or fight
julee cruise,i remember
the offspring,elders
galaxie 500,plastic bird
belinda carlisle,vision of you
don henley,little tin god
lenny kravitz,sitting on top of the world
the ocean blue,vanity fair
enuff z'nuff,i could never be without you
the smithereens,yesterday girl
"10,000 maniacs",you happy puppet
the replacements,talent show
the connells,something to say
lisa stansfield,this is the right time
jason donovan,too many broken hearts
galaxie 500,victory garden
the seekers,the carnival is over
dionne warwick,love power
daniel johnston,honey i sure miss you
indigo girls,love's recovery
bob dylan,ring them bells
tears for fears,year of the knife
erasure,you surround me
pixies,manta ray
cyndi lauper,my first night without you
cher,love on a rooftop
željko bebek,sinoć sam pola kafane popio
tracy chapman,subcity
tom petty,love is a long road
galaxie 500,isn't it a pity
tina turner,the best
"10,000 maniacs",trouble me
pixies,gouge away
tracy chapman,crossroads
pixies,i bleed
pixies,mr. grieves
van morrison,these are the days
don henley,the last worthless evening
janet jackson,black cat
van morrison,have i told you lately
pixies,here comes your man
roy orbison,you got it
richard marx,right here waiting
tom petty,i won't back down
janet jackson,rhythm nation
galaxie 500,blue thunder
tom petty,yer so bad
love and rockets,so alive
the seekers,i'll never find another you
indigo girls,blood and fire
indigo girls,kid fears
pixies,silver
bob dylan,most of the time
gloria estefan,cuts both ways
tears for fears,bad man's song
tracy chapman,this time
babyface,tender lover
madonna,oh father
john mellencamp,jackie brown
galaxie 500,snowstorm
bad religion,change of ideas
janet jackson,state of the world
xtc,king for a day
heavy d & the boyz,we got our own thang
simple minds,mandela day
tom petty,depending on you
pixies,no 13 baby
pixies,dead
tom petty,feel a whole lot better
bonnie raitt,have a heart
indigo girls,secure yourself
flamin' groovies,slow death
julee cruise,falling
roy orbison,california blue
pixies,there goes my gun
simple minds,belfast child
alannah myles,lover of mine
julee cruise,rockin' back inside my heart
bad religion,sanity
pixies,crackity jones
the b-52's,deadbeat club
erasure,blue savannah
debbie gibson,electric youth
mariah carey,sent from up above
social distortion,drug train
new kids on the block,games
social distortion,a place in my heart
whitney houston,lover for life
brian eno,lay my love
my bloody valentine,off your face
inxs,the stairs
jellyfish,that is why
jan & dean,dead man's curve
they might be giants,they might be giants
sonny & cher,all i ever need is you
dead moon,walking on my grave
mariah carey,alone in love
mariah carey,there's got to be a way
mazzy star,she hangs brightly
helen shapiro,walkin' back to happiness
emmylou harris,that lovin' you feelin' again (with roy orbison)
the church,metropolis
hi-five,quality time
the sundays,skin & bones
they might be giants,we want a rock
madonna,rescue me
inxs,bitter tears
pixies,allison
a tribe called quest,go ahead in the rain
oingo boingo,flesh 'n blood
dusty springfield,in private
wilson phillips,a reason to believe
the breeders,glorious
the waterboys,how long will i love you
pet shop boys,so hard
jimmie rodgers,secretly
ice cube,rollin' wit the lench mob
mazzy star,free
bad religion,god song
ice cube,what they hittin' foe?
ice cube,who's the mack?
the connells,stone cold yesterday
the sundays,a certain someone
mazzy star,taste of blood
bad religion,walk away
they might be giants,particle man
the righteous brothers,(you're my) soul and inspiration
mariah carey,i don't wanna cry
mariah carey,someday
van morrison,real real gone
james,sit down
a tribe called quest,can i kick it?
social distortion,so far away
the black crowes,seeing things
inxs,disappear
new kids on the block,tonight
hi-five,i can't wait another minute
whitney houston,miracle
mariah carey,vision of love
social distortion,ball and chain
en vogue,hold on
heart,all i wanna do is make love to you
sinéad o'connor,nothing compares 2 u
whitney houston,all the man that i need
mariah carey,love takes time
ricardo montaner,me va a extrañar (aka unchain my heart)
salt-n-pepa,let's talk about sex
ice cube,jackin' for beats
heart,secret
heart,stranded
matt monro,from russia with love
they might be giants,dead
ride,seagull
everything but the girl,downtown train
bad religion,against the grain
the lemonheads,skulls
the black crowes,sister luck
pixies,velouria
inxs,by my side
bad religion,modern man
hüsker dü,eight miles high
the cleftones,heart and soul
cocteau twins,wolf in the breast
pixies,is she weird
a-ha,crying in the rain
world party,put the message in the box
pennywise,pennywise
green day,only of you
mariah carey,you're so cold
slowdive,ballad of sister sue
green day,i was there
bob dylan,blind willie mctell
john prine,all the best
2pac,young black male
green day,dry ice
al martino,i have but one heart
green day,the judge's daughter
live,the beauty of gray
blur,there's no other way
tom petty and the heartbreakers,out in the cold
lucky dube,crazy world
the psychedelic furs,in my head
the cyrkle,the visit (she was here)
the field mice,if you need someone
pixies,trompe le monde
the smashing pumpkins,bury me
tina turner,i can't stand the rain
the smashing pumpkins,window paine
alma cogan,never do a tango with an eskimo
pixies,motorway to roswell
the smashing pumpkins,suffer
gloria estefan,coming out of the dark
green day,disappearing boy
green day,don't leave me
tina turner,private dancer
the smashing pumpkins,daydream
pennywise,living for today
r.e.m.,texarkana
electronic,get the message
freddy fender,vaya con dios
toad the wet sprocket,nightingale song
orchestral manoeuvres in the dark,pandora's box
mint condition,forever in your eyes
richard thompson,i feel so good
joni mitchell,come in from the cold
geto boys,chuckie
gang starr,who's gonna take the weight?
pixies,planet of sound
tom petty and the heartbreakers,the dark of the sun
teenage fanclub,star sign
green day,rest
talk talk,after the flood
tom petty and the heartbreakers,all the wrong reasons
blues traveler,all in the groove
the platters,enchanted
lenny kravitz,it ain't over 'til it's over
the ocean blue,mercury
r.e.m.,radio song
green day,"1,000 hours"
pennywise,rules
r.e.m.,shiny happy people
everything but the girl,time after time
billy j. kramer,trains and boats and planes
r.e.m.,belong
richard marx,chains around my heart
chris rea,looking for the summer
2pac,part time mutha
lisa stansfield,all woman
toad the wet sprocket,pray your gods
mariah carey,and you don't remember
tina turner,better be good to me
erasure,love to hate you
tevin campbell,alone with you
siouxsie and the banshees,kiss them for me
violent femmes,american music
boyz ii men,please don't go
simply red,stars
jodeci,u and i
crash test dummies,superman's song
naughty by nature,uptown anthem
andy williams,hawaiian wedding song
school of fish,3 strange days
bodeans,good things
bryan adams,do i have to say the words?
roxette,fading like a flower (every time you leave)
simply red,for your babies
van morrison,i'm not feeling it anymore
my bloody valentine,soon
richard thompson,1952 vincent black lightning
tina turner,we don't need another hero (thunderdome)
cher,the shoop shoop song (it's in his kiss)
tina turner,what's love got to do with it
bonnie raitt,i can't make you love me
michael jackson,black or white
mariah carey,emotions
tom petty and the heartbreakers,learning to fly
michael jackson,remember the time
michael jackson,heal the world
pennywise,bro hymn
michael jackson,who is it
jodeci,come & talk to me
my bloody valentine,to here knows when
my bloody valentine,only shallow
tony! toni! toné!,me and you
michael learns to rock,the actor
nofx,the moron brothers
the smashing pumpkins,snail
paula abdul,the promise of a new day
matthew sweet,divine intervention
modern talking,geronimo's cadillac
r.e.m.,half a world away
ned's atomic dustbin,grey cell green
sinéad o'connor,silent night
2pac,if my homie calls
slint,washer
alberto vazquez,significas todo para mi
the ocean blue,ballerina out of control
cher,love hurts
a tribe called quest,infamous date rape
the smashing pumpkins,tristessa
oingo boingo,goodbye-goodbye
frank ifield,i remember you
the sugarcubes,hit
彭家麗,從不喜歡孤單一個
my bloody valentine,come in alone
dj quik,pitch in ona party
crowded house,fall at your feet
simply red,something got me started
a tribe called quest,everything is fair
cher,save up all your tears
green day,going to pasalacqua
my bloody valentine,blown a wish
babyface,two occasions (live)
billy j. kramer,bad to me
throwing muses,not too soon
r.e.m.,near wild heaven
slint,"good morning, captain"
pale saints,kinky love
barenaked ladies,blame it on me
glenn frey,"part of me, part of you"
saint etienne,spring
paul anka,it's time to cry
tori amos,crucify
social distortion,king of fools
timi yuro,smile
indigo girls,jonas & ezekial
they might be giants,i palindrome i
no doubt,move on
neil diamond,morningside
erasure,breath of life
kapena,don't say goodbye
green day,my generation
the lemonheads,rudderless
timi yuro,hurt
pavement,summer babe (winter version)
4 non blondes,morphine & chocolate
gin blossoms,until i fall away
green day,one for the razorbacks
nofx,the longest line
r.e.m.,monty got a raw deal
annie lennox,cold
kapena,reggae train
green day,80
bad religion,the answer
the outfield,winning it all
m people,search for the hero
gin blossoms,29
paul anka,don't ever leave me
phish,tweezer
stone temple pilots,naked sunday
blind melon,i wonder
peter cetera,restless heart
ice cube,the predator
soul asylum,without a trace
buffalo tom,taillights fade
social distortion,this time darlin'
brian mcknight,after the love
yordano,por estas calles
sugar,hoover dam
swv,it's about time
madonna,fever
pepe aguilar,estas fallando
tito rojas,amor del bueno
céline dion,nothing broken but my heart
4 non blondes,calling all the people
nofx,straight edge
ice cube,gangsta's fairytale 2
sinéad o'connor,don't cry for me argentina
social distortion,ghost town blues
suzanne vega,blood makes noise
sonic youth,100%
cracker,happy birthday to me
annie lennox,primitive
catherine wheel,i want to touch you
they might be giants,the guitar
samantha fox,touch me (i want your body)
ice cube,now i gotta wet 'cha
blind melon,change
xtc,dear madam barnum
green day,words i might have ate
4 non blondes,drifting
tracy chapman,matters of the heart
babes in toyland ,bruise violet
mary j. blige,intro talk
no doubt,ache
they might be giants,statue got me high
green day,sweet children
mary j. blige,leave a message
the sundays,i feel
a tribe called quest,hot sex
greg brown,just by myself
gang starr,take it personal
too $hort,so you want to be a gangster
the lemonheads,it's a shame about ray
nofx,stickin in my eye
green day,2000 light years away
television,1880 or so
the elgins,heaven must have sent you
saint etienne,only love can break your heart
pennywise,stand by me
bad religion,generator
the left banke,walk away renee
céline dion,where does my heart beat now
barenaked ladies,"if i had $1,000,000"
swv,weak
mary j. blige,real love
whitney houston,i have nothing
annie lennox,walking on broken glass
ice cube,it was a good day
"10,000 maniacs",these are days
en vogue,free your mind
mary j. blige,love no limit
stone temple pilots,wicked garden
mary j. blige,reminisce
sugar,if i can't change your mind
en vogue,giving him something he can feel
barenaked ladies,brian wilson
swv,you're always on my mind
inxs,beautiful girl
the lemonheads,mrs. robinson
mary j. blige,my love
stone temple pilots,sin
social distortion,99 to life
no doubt,trapped in a box
tasmin archer,sleeping satellite
chanté moore,love's taken over
green day,christie rd.
whitney houston,something in common
shakespears sister,stay
social distortion,making believe
bobby brown,get away
xtc,ballad of peter pumpkinhead
4 non blondes,spaceman
rick price,heaven knows
barenaked ladies,be my yoko ono
phish,stash
catherine wheel,black metallic
the black crowes,thorn in my pride
"10,000 maniacs",candy everybody wants
peter gabriel,blood of eden
social distortion,cold feelings
whitney houston,jesus loves me
green day,welcome to paradise
r.e.m.,try not to breathe
nofx,please play this song on the radio
boyz ii men,let it snow
the cranberries,still can't...
sarah mclachlan,elsewhere
sarah mclachlan,ice cream
jellyfish,new mistake
the cranberries,not sorry
céline dion,the colour of my love
phish,rift
catherine wheel,crank
sarah mclachlan,fear
kate bush,why should i love you?
swirlies,pancake
céline dion,when i fall in love
ace of base,living in danger
kim carnes,more love
sheryl crow,d'yer mak'er
sheryl crow,i shall believe
mazzy star,mary of silence
the cranberries,waltzing back
mc lyte,ruffneck
the cranberries,how
ace of base,happy nation
sarah mclachlan,good enough
the cranberries,liar
snoop dogg,gin and juice (feat. dat nigga daz)
faith hill,take me as i am
cracker,euro-trash girl
snoop dogg,who am i (what's my name)?
glass tiger,someday
björk,crying
björk,there's more to life than this
mariah carey,never forget you
james,say something
tony! toni! toné!,anniversary
tears for fears,goodnight song
carole king,now and forever
lucky dube,remember me
mazzy star,unreflected
queen latifah,just another day...
janet jackson,this time
ice cube,really doe
the queers,fuck the world
bad religion,skyscraper
the cranberries,pretty
xscape,is my living in vain
sebadoh,soul and fire
ice cube,you know how we do it
new order,regret
sheryl crow,strong enough
jellyfish,joining a fan club
xscape,just kickin' it
cocteau twins,know who you are at every age
rancid,hyena
sarah mclachlan,fumbling towards ecstasy
the fleetwoods,outside my window
yanni,only a memory
crowded house,distant sun
jamiroquai,emergency on planet earth
cocteau twins,evangeline
björk,aeroplane
the five satins,in the still of the night
björk,human behaviour
babyface,when can i see you
big head todd and the monsters,bittersweet
candlebox,you
toni braxton,how many ways
tony! toni! toné!,(lay your head on my) pillow
ace of base,don't turn around
björk,venus as a boy
sarah mclachlan,possession
the smashing pumpkins,luna
candlebox,cover me
the fleetwoods,mr. blue
a tribe called quest,oh my god
betty everett,the shoop shoop song (it's in his kiss)
snoop dogg,g funk (intro)
the breeders,cannonball
the tokens,the lion sleeps tonight (wimoweh)
janet jackson,that's the way love goes
the smashing pumpkins,today
the cranberries,dreams
snoop dogg,"ain't no fun (if the homies cant have none) (feat. nate dogg, warren g & kurupt)"
